<START:location> Стрілковичі (49.5, 23.13333) <END>
<START:location> Новоселиця Вижна (48.95, 23.91667) <END>
<START:location> Валіївка (50.83578, 34.26268) <END>
<START:location> Тур'я-Бистра (48.65744, 22.81154) <END>
<START:location> Chernin (50.88333, 30.55) <END>
<START:location> Львівський район (49.87, 24.1) <END>
<START:location> Трибухівці (49.04099, 25.45551) <END>
<START:location> Ворона (48.94882, 24.76309) <END>
<START:location> Шевченка (49.44877, 27.87546) <END>
<START:location> Грудки (51.68328, 24.94071) <END>
<START:location> Заложці-Нове (49.80198, 25.38967) <END>
<START:location> Одринки (51.19534, 26.37189) <END>
<START:location> Тарасово-Григорівка (48.99058, 32.68171) <END>
<START:location> Западинці (49.49639, 27.47962) <END>
<START:location> Холодне (49.65492, 31.99889) <END>
<START:location> Підлісці (50.61584, 25.40345) <END>
<START:location> Перемога (50.12612, 35.8759) <END>
<START:location> Просяниківка (48.95157, 34.00814) <END>
<START:location> Inhul (46.97955, 31.9899) <END>
<START:location> Дзвеняче (49.3821, 29.57408) <END>
<START:location> Вулиця Козацька (50.74333, 28.91076) <END>
<START:location> Тарутинський район (46.18549, 29.15157) <END>
<START:location> Нове Запоріжжя (47.82281, 36.20811) <END>
<START:location> Нігін (48.83877, 26.56828) <END>
<START:location> Probiina (48.00263, 24.90374) <END>
<START:location> Соколівське (48.47424, 32.20288) <END>
<START:location> Шевченкове (48.43761, 31.71407) <END>
<START:location> Яреськи (49.83822, 33.9126) <END>
<START:location> пров. Малинівський (50.78287, 29.27114) <END>
<START:location> Valley Gardens (49.71583, -2.20583) <END>
<START:location> Гора Біюкоба (44.92761, 34.88862) <END>
<START:location> Марково (45.28697, 35.00302) <END>
<START:location> Цибівка (49.87064, 37.39753) <END>
<START:location> Новоозерне (45.46544, 28.70879) <END>
<START:location> Федорівка (45.77492, 33.68402) <END>
<START:location> Іллінка (48.40062, 34.45079) <END>
<START:location> Leheidy (49.84631, 34.1188) <END>
<START:location> Вулиця Молодіжна (50.92841, 29.41758) <END>
<START:location> Жемчужина (45.27466, 34.65778) <END>
<START:location> Газопровідне (52.17241, 32.91887) <END>
<START:location> Цови (49.82781, 34.05649) <END>
<START:location> Рудня Франківка (51.31667, 28.35) <END>
<START:location> Звенигород (49.09186, 25.40492) <END>
<START:location> Великий Березний (48.8934, 22.46121) <END>
<START:location> Лісна (50.2691, 28.62608) <END>
<START:location> Дзержинськ (48.4, 37.8333333) <END>
<START:location> Зарічне (50.55597, 26.54092) <END>
<START:location> Дібрівка (49.32096, 29.76622) <END>
<START:location> Богданівка (48.61776, 37.89675) <END>
<START:location> Prostore (49.65095, 38.49462) <END>
<START:location> Гора Сосман (45.11817, 36.29335) <END>
<START:location> Цирюлики (50.35985, 35.95827) <END>
<START:location> Західне (51.48333, 31.23333) <END>
<START:location> Браїлівка (49.12431, 36.34575) <END>
<START:location> Леніна (49.98333, 36.47806) <END>
<START:location> Довгий Ліс (51.39862, 29.27771) <END>
<START:location> Червона Гірка (49.46673, 36.6239) <END>
<START:location> Бабанівка (46.70032, 35.85069) <END>
<START:location> Градиськ (51.38489, 25.34118) <END>
<START:location> Орілька (48.97543, 35.92973) <END>
<START:location> Будище (51.49059, 33.98609) <END>
<START:location> Stupky (49.73091, 34.67778) <END>
<START:location> Став Довгий (51.70928, 26.10467) <END>
<START:location> Новокостянтинівка (46.59619, 35.68764) <END>
<START:location> Стещина (51.15387, 29.74146) <END>
<START:location> Роздільна-Сортувальна (46.88942, 30.0434) <END>
<START:location> Горбачі (50.96787, 28.82426) <END>
<START:location> Сергіївка (46.58333, 34.53333) <END>
<START:location> Gycha (48.60227, 23.81525) <END>
<START:location> Бугаївка (48.41767, 38.85866) <END>
<START:location> Стара Гута (50.86667, 27.06667) <END>
<START:location> Ridkodub (49.92028, 37.60833) <END>
<START:location> Вулиця Всеволода Лазуки (50.74892, 28.99553) <END>
<START:location> Онопріївка (49.01886, 30.66625) <END>
<START:location> Тартак (50.38081, 27.83204) <END>
<START:location> Травневе (49.13291, 35.41919) <END>
<START:location> Стовпичне (51.38121, 29.00529) <END>
<START:location> Будище (51.65881, 32.96316) <END>
<START:location> Латівка (47.77413, 33.25414) <END>
<START:location> Шешеровичі (49.71243, 23.33469) <END>
<START:location> Якимів Яр (47.38386, 30.27646) <END>
<START:location> Монастирок (48.73231, 25.8557) <END>
<START:location> Якимівка (49.29037, 29.53821) <END>
<START:location> Пухове (51.13285, 29.53827) <END>
<START:location> Дмитрівка (50.03203, 29.73) <END>
<START:location> Черніхів (49.61122, 23.34123) <END>
<START:location> Сопіт (49.14383, 23.38229) <END>
<START:location> Зеленийгород (46.47714, 30.61566) <END>
<START:location> Верхнє (49.04684, 22.95479) <END>
<START:location> Савичі (50.22199, 27.22298) <END>
<START:location> Нова вулиця (50.96951, 29.3476) <END>
<START:location> Ольговка (47.3, 34.23333) <END>
<START:location> Полтавка (48.53306, 37.39858) <END>
<START:location> Бучач (49.06234, 25.39496) <END>
<START:location> Теплянка (49.47051, 37.1852) <END>
<START:location> Осоївка (50.90988, 35.17189) <END>
<START:location> Гончарівське (51.29878, 30.91968) <END>
<START:location> Овдянське (50.59284, 34.66845) <END>
<START:location> Хребет Іограф (44.51486, 34.11968) <END>
<START:location> Станція Решаючий (52.11788, 33.86273) <END>
<START:location> Солонцевата (47.75, 35.95) <END>
<START:location> Фабричне (48.47942, 39.32318) <END>
<START:location> Яблунівка (49.68938, 29.961) <END>
<START:location> Грималівка (50.27974, 25.04876) <END>
<START:location> Щасливцеве (46.03264, 34.83448) <END>
<START:location> Жуваківка (49.51333, 37.10944) <END>
<START:location> Озерце (50.818, 25.34822) <END>
<START:location> Новотимофіївка (46.84595, 32.79169) <END>
<START:location> Михайлівка (50.47458, 27.1632) <END>
<START:location> 11 дзеркал (50.44797, 30.49958) <END>
<START:location> Spaske (51.04272, 27.94273) <END>
<START:location> Дубецьк (51.58333, 25) <END>
<START:location> Чубарівка (47.19474, 31.09122) <END>
<START:location> Орлі Лас (49.22242, 31.60509) <END>
<START:location> Свічківка (49.95602, 33.21408) <END>
<START:location> Молчанівка (49.52238, 26.03281) <END>
<START:location> Лебедині Острови - Філіал Кримського Заповідника (45.86916, 33.52396) <END>
<START:location> Hai (50.82875, 33.51799) <END>
<START:location> Рівня (48.08333, 25.28333) <END>
<START:location> Бровар (50.05, 23.78333) <END>
<START:location> Платонівка (50.8213, 31.65525) <END>
<START:location> Урочище Ямки (51.9197, 25.13403) <END>
<START:location> Мости (48.74708, 33.99574) <END>
<START:location> La Petite Blaye (49.71361, -2.21361) <END>
<START:location> Лутугине (48.40607, 39.20483) <END>
<START:location> Шеметиця (51.05, 28.43333) <END>
<START:location> Друга Миколаївка (47.78333, 29.51667) <END>
<START:location> Романівщина (50.85835, 32.32582) <END>
<START:location> Вигода (48.53841, 26.35231) <END>
<START:location> Юрківці (48.50197, 25.93335) <END>
<START:location> Богданове (52.30822, 33.27843) <END>
<START:location> Радошин (51.1724, 24.97783) <END>
<START:location> Мокрий Індол (45.16267, 35.03357) <END>
<START:location> Чеснівка (49.30631, 30.76908) <END>
<START:location> Smoline (48.60127, 31.31292) <END>
<START:location> Виноград (47.23011, 30.78834) <END>
<START:location> Мартинівка (50.55851, 25.16833) <END>
<START:location> Миколаївка (48.85461, 37.7728) <END>
<START:location> Аеропорт Кропивницький (48.5428, 32.285) <END>
<START:location> Писарівка (51.07399, 34.79999) <END>
<START:location> Щербаки (49.13024, 33.5829) <END>
<START:location> Вулиця Власюка (50.18576, 26.87931) <END>
<START:location> Липляни (50.78819, 25.2979) <END>
<START:location> Дзюбівка (50.34479, 31.74143) <END>
<START:location> Григор'ївка (45.42143, 34.12086) <END>
<START:location> Коречне (49.97389, 37.68417) <END>
<START:location> Богданівка (49.66618, 26.48204) <END>
<START:location> Шосткинське Місто (51.87066, 33.48777) <END>
<START:location> Веселий Гай (48.82346, 34.95623) <END>
<START:location> Romanky (50.01772, 34.17573) <END>
<START:location> Первомайський (48.67889, 38.76083) <END>
<START:location> Старий Зутір (49.44369, 33.21859) <END>
<START:location> Долинка (50.61394, 24.36669) <END>
<START:location> Орані (50.81018, 24.21313) <END>
<START:location> Шевченківський (49.18753, 31.89319) <END>
<START:location> Тлумач (48.86519, 25.00385) <END>
<START:location> Бровари (50.5166667, 30.8166667) <END>
<START:location> Мис Киз-Куле-Бурун (44.8392, 34.9613) <END>
<START:location> Бразолове (48.76532, 35.99883) <END>
<START:location> Пустомити (50.71829, 26.7159) <END>
<START:location> Узин (48.98445, 24.8151) <END>
<START:location> Саранчин (50.24939, 33.43617) <END>
<START:location> Василівка (48.84642, 31.91614) <END>
<START:location> Буткевич (48.317, 38.874) <END>
<START:location> Жовті Води 1 (48.38234, 33.61541) <END>
<START:location> Осталець (50.4, 25.48333) <END>
<START:location> Промінь (48.29503, 34.53442) <END>
<START:location> Острів Змійний (45.25489, 30.20371) <END>
<START:location> Тростянець (49.33077, 24.921) <END>
<START:location> Богдани (49.93033, 31.87548) <END>
<START:location> Помазань (45.60421, 29.30753) <END>
<START:location> Багровець (48.44394, 24.53549) <END>
<START:location> Малі Нігірчики (49.89367, 28.58956) <END>
<START:location> Залуччя (48.74102, 26.23502) <END>
<START:location> Бобер (51.24545, 29.63289) <END>
<START:location> Слободо-Петрівка (50.11745, 32.38397) <END>
<START:location> Зеремля (50.36228, 27.60219) <END>
<START:location> Буки (49.08929, 30.40901) <END>
<START:location> Біленька (48.7809, 38.63292) <END>
<START:location> Безімянка (45.89969, 30.01703) <END>
<START:location> Велесниця-Дольна (48.72465, 24.75428) <END>
<START:location> Плиски (51.11814, 32.43403) <END>
<START:location> Перово (44.92513, 34.05753) <END>
<START:location> Деменки (48.94778, 34.25436) <END>
<START:location> Святе Озеро (50.82619, 30.98742) <END>
<START:location> Озеро Тросце (51.46375, 25.47014) <END>
<START:location> Гарначиця (51.53333, 26.95) <END>
<START:location> Перевальськ (48.4388889, 38.8194444) <END>
<START:location> Бабичі (49.837, 33.99429) <END>
